Country,Event month,Event Type,Fatalities
Saint-Barthelemy,2021-10-01,Riots,0
Saint-Barthelemy,2021-10-01,Strategic developments,0
Saint-Barthelemy,2021-10-01,Violence against civilians,0
Saint-Martin,2021-10-01,Battles,0
Saint-Martin,2021-10-01,Explosions/Remote violence,0
Saint-Martin,2021-10-01,Protests,0
Saint-Martin,2021-10-01,Riots,0
Saint-Martin,2021-10-01,Strategic developments,0
Saint-Martin,2021-10-01,Violence against civilians,0
Sao Tome and Principe,2021-10-01,Battles,0
Sao Tome and Principe,2021-10-01,Explosions/Remote violence,0
Sao Tome and Principe,2021-10-01,Protests,0
Sao Tome and Principe,2021-10-01,Riots,0
Sao Tome and Principe,2021-10-01,Strategic developments,0
Sao Tome and Principe,2021-10-01,Violence against civilians,0
Uruguay,2021-10-01,Battles,0
Uruguay,2021-10-01,Explosions/Remote violence,0
Uruguay,2021-10-01,Protests,0
Uruguay,2021-10-01,Riots,0
Uruguay,2021-10-01,Strategic developments,0
Uruguay,2021-10-01,Violence against civilians,0
Wallis and Futuna,2021-10-01,Battles,0
Wallis and Futuna,2021-10-01,Explosions/Remote violence,0
Wallis and Futuna,2021-10-01,Protests,0
Wallis and Futuna,2021-10-01,Riots,0
Wallis and Futuna,2021-10-01,Strategic developments,0
Wallis and Futuna,2021-10-01,Violence against civilians,0
Saint Lucia,2021-10-01,Battles,0
Saint Lucia,2021-10-01,Explosions/Remote violence,0
Saint Lucia,2021-10-01,Protests,0
Saint Lucia,2021-10-01,Riots,0
Saint Lucia,2021-10-01,Strategic developments,0
Saint Lucia,2021-10-01,Violence against civilians,0
Equatorial Guinea,2021-10-01,Battles,0
Equatorial Guinea,2021-10-01,Explosions/Remote violence,0
Equatorial Guinea,2021-10-01,Protests,0
Equatorial Guinea,2021-10-01,Riots,0
Equatorial Guinea,2021-10-01,Strategic developments,0
Equatorial Guinea,2021-10-01,Violence against civilians,0
Kuwait,2021-10-01,Battles,0
Kuwait,2021-10-01,Explosions/Remote violence,0
Kuwait,2021-10-01,Protests,0
Kuwait,2021-10-01,Riots,0
Kuwait,2021-10-01,Strategic developments,0
Kuwait,2021-10-01,Violence against civilians,0
Tajikistan,2021-10-01,Battles,0
Tajikistan,2021-10-01,Explosions/Remote violence,0
Tajikistan,2021-10-01,Protests,0
Tajikistan,2021-10-01,Riots,0
Tajikistan,2021-10-01,Strategic developments,0
Tajikistan,2021-10-01,Violence against civilians,0
United Arab Emirates,2021-10-01,Battles,0
United Arab Emirates,2021-10-01,Explosions/Remote violence,0
United Arab Emirates,2021-10-01,Protests,0
United Arab Emirates,2021-10-01,Riots,0
United Arab Emirates,2021-10-01,Strategic developments,0
United Arab Emirates,2021-10-01,Violence against civilians,0
American Samoa,2021-10-01,Battles,0
American Samoa,2021-10-01,Explosions/Remote violence,0
American Samoa,2021-10-01,Protests,0
American Samoa,2021-10-01,Riots,0
American Samoa,2021-10-01,Strategic developments,0
American Samoa,2021-10-01,Violence against civilians,0
Fiji,2021-10-01,Battles,0
Fiji,2021-10-01,Explosions/Remote violence,0
Fiji,2021-10-01,Protests,0
Fiji,2021-10-01,Riots,0
Fiji,2021-10-01,Strategic developments,0
Fiji,2021-10-01,Violence against civilians,0
Northern Mariana Islands,2021-10-01,Battles,0
Northern Mariana Islands,2021-10-01,Explosions/Remote violence,0
Northern Mariana Islands,2021-10-01,Protests,0
Northern Mariana Islands,2021-10-01,Riots,0
Northern Mariana Islands,2021-10-01,Strategic developments,0
Northern Mariana Islands,2021-10-01,Violence against civilians,0
Botswana,2021-10-01,Battles,0
Botswana,2021-10-01,Explosions/Remote violence,0
Botswana,2021-10-01,Protests,0
Botswana,2021-10-01,Riots,0
Botswana,2021-10-01,Strategic developments,0
Botswana,2021-10-01,Violence against civilians,0
Bailiwick of Guernsey,2021-10-01,Battles,0
Bailiwick of Guernsey,2021-10-01,Explosions/Remote violence,0
Bailiwick of Guernsey,2021-10-01,Protests,0
Bailiwick of Guernsey,2021-10-01,Riots,0
Bailiwick of Guernsey,2021-10-01,Strategic developments,0
Bailiwick of Guernsey,2021-10-01,Violence against civilians,0
Barbados,2021-10-01,Battles,0
Barbados,2021-10-01,Explosions/Remote violence,0
Barbados,2021-10-01,Protests,0
Barbados,2021-10-01,Riots,0
Barbados,2021-10-01,Strategic developments,0
Barbados,2021-10-01,Violence against civilians,0
Bermuda,2021-10-01,Battles,0
Bermuda,2021-10-01,Explosions/Remote violence,0
Bermuda,2021-10-01,Protests,0
Bermuda,2021-10-01,Riots,0
Bermuda,2021-10-01,Strategic developments,0
Bermuda,2021-10-01,Violence against civilians,0
Curacao,2021-10-01,Battles,0
Curacao,2021-10-01,Explosions/Remote violence,0
Curacao,2021-10-01,Protests,0
Curacao,2021-10-01,Riots,0
Curacao,2021-10-01,Strategic developments,0
Curacao,2021-10-01,Violence against civilians,0
Oman,2021-10-01,Battles,0
Oman,2021-10-01,Explosions/Remote violence,0
Oman,2021-10-01,Protests,0
Oman,2021-10-01,Riots,0
Oman,2021-10-01,Strategic developments,0
Oman,2021-10-01,Violence against civilians,0
Saint Vincent and the Grenadines,2021-10-01,Battles,0
Saint Vincent and the Grenadines,2021-10-01,Explosions/Remote violence,0
Saint Vincent and the Grenadines,2021-10-01,Protests,0
Saint Vincent and the Grenadines,2021-10-01,Riots,0
Saint Vincent and the Grenadines,2021-10-01,Strategic developments,0
Saint Vincent and the Grenadines,2021-10-01,Violence against civilians,0
Sint Maarten,2021-10-01,Battles,0
Sint Maarten,2021-10-01,Explosions/Remote violence,0
Sint Maarten,2021-10-01,Protests,0
Sint Maarten,2021-10-01,Riots,0
Sint Maarten,2021-10-01,Strategic developments,0
Sint Maarten,2021-10-01,Violence against civilians,0
"Virgin Islands, U.S.",2021-10-01,Battles,0
"Virgin Islands, U.S.",2021-10-01,Explosions/Remote violence,0
"Virgin Islands, U.S.",2021-10-01,Protests,0
"Virgin Islands, U.S.",2021-10-01,Riots,0
"Virgin Islands, U.S.",2021-10-01,Strategic developments,0
"Virgin Islands, U.S.",2021-10-01,Violence against civilians,0
Isle of Man,2021-10-01,Battles,0
Isle of Man,2021-10-01,Explosions/Remote violence,0
Isle of Man,2021-10-01,Protests,0
Isle of Man,2021-10-01,Riots,0
Isle of Man,2021-10-01,Strategic developments,0
Isle of Man,2021-10-01,Violence against civilians,0
Vanuatu,2021-10-01,Battles,0
Vanuatu,2021-10-01,Explosions/Remote violence,0
Vanuatu,2021-10-01,Protests,0
Vanuatu,2021-10-01,Riots,0
Vanuatu,2021-10-01,Strategic developments,0
Vanuatu,2021-10-01,Violence against civilians,0
Vietnam,2021-10-01,Battles,0
Vietnam,2021-10-01,Explosions/Remote violence,0
Vietnam,2021-10-01,Protests,0
Vietnam,2021-10-01,Riots,0
Vietnam,2021-10-01,Strategic developments,0
Vietnam,2021-10-01,Violence against civilians,0
Gibraltar,2021-10-01,Battles,0
Gibraltar,2021-10-01,Explosions/Remote violence,0
Gibraltar,2021-10-01,Protests,0
Gibraltar,2021-10-01,Riots,0
Gibraltar,2021-10-01,Strategic developments,0
Gibraltar,2021-10-01,Violence against civilians,0
Micronesia,2021-10-01,Battles,0
Micronesia,2021-10-01,Explosions/Remote violence,0
Micronesia,2021-10-01,Protests,0
Micronesia,2021-10-01,Riots,0
Micronesia,2021-10-01,Strategic developments,0
Micronesia,2021-10-01,Violence against civilians,0
Aruba,2021-10-01,Battles,0
Aruba,2021-10-01,Explosions/Remote violence,0
Aruba,2021-10-01,Protests,0
Aruba,2021-10-01,Riots,0
Aruba,2021-10-01,Strategic developments,0
Aruba,2021-10-01,Violence against civilians,0
Tonga,2021-10-01,Battles,0
Tonga,2021-10-01,Explosions/Remote violence,0
Tonga,2021-10-01,Protests,0
Tonga,2021-10-01,Riots,0
Tonga,2021-10-01,Strategic developments,0
Tonga,2021-10-01,Violence against civilians,0
Falkland Islands,2021-10-01,Battles,0
Falkland Islands,2021-10-01,Explosions/Remote violence,0
Falkland Islands,2021-10-01,Protests,0
Falkland Islands,2021-10-01,Riots,0
Falkland Islands,2021-10-01,Strategic developments,0
Falkland Islands,2021-10-01,Violence against civilians,0
Cook Islands,2021-10-01,Battles,0
Cook Islands,2021-10-01,Explosions/Remote violence,0
Cook Islands,2021-10-01,Protests,0
Cook Islands,2021-10-01,Riots,0
Cook Islands,2021-10-01,Strategic developments,0
Cook Islands,2021-10-01,Violence against civilians,0
Saint Pierre and Miquelon,2021-10-01,Battles,0
Saint Pierre and Miquelon,2021-10-01,Explosions/Remote violence,0
Saint Pierre and Miquelon,2021-10-01,Protests,0
Saint Pierre and Miquelon,2021-10-01,Riots,0
Saint Pierre and Miquelon,2021-10-01,Strategic developments,0
Saint Pierre and Miquelon,2021-10-01,Violence against civilians,0
Kiribati,2021-10-01,Battles,0
Kiribati,2021-10-01,Explosions/Remote violence,0
Kiribati,2021-10-01,Protests,0
Kiribati,2021-10-01,Riots,0
Kiribati,2021-10-01,Strategic developments,0
Kiribati,2021-10-01,Violence against civilians,0
Montserrat,2021-10-01,Battles,0
Montserrat,2021-10-01,Explosions/Remote violence,0
Montserrat,2021-10-01,Protests,0
Montserrat,2021-10-01,Riots,0
Montserrat,2021-10-01,Strategic developments,0
Montserrat,2021-10-01,Violence against civilians,0
British Virgin Islands,2021-10-01,Battles,0
British Virgin Islands,2021-10-01,Explosions/Remote violence,0
British Virgin Islands,2021-10-01,Protests,0
British Virgin Islands,2021-10-01,Riots,0
British Virgin Islands,2021-10-01,Strategic developments,0
British Virgin Islands,2021-10-01,Violence against civilians,0
Nauru,2021-10-01,Battles,0
Nauru,2021-10-01,Explosions/Remote violence,0
Nauru,2021-10-01,Protests,0
Nauru,2021-10-01,Riots,0
Nauru,2021-10-01,Strategic developments,0
Nauru,2021-10-01,Violence against civilians,0
Saint Kitts and Nevis,2021-10-01,Battles,0
Saint Kitts and Nevis,2021-10-01,Explosions/Remote violence,0
Saint Kitts and Nevis,2021-10-01,Protests,0
Saint Kitts and Nevis,2021-10-01,Riots,0
Saint Kitts and Nevis,2021-10-01,Strategic developments,0
Saint Kitts and Nevis,2021-10-01,Violence against civilians,0
Cayman Islands,2021-10-01,Battles,0
Cayman Islands,2021-10-01,Explosions/Remote violence,0
Cayman Islands,2021-10-01,Protests,0
Cayman Islands,2021-10-01,Riots,0
Cayman Islands,2021-10-01,Strategic developments,0
Cayman Islands,2021-10-01,Violence against civilians,0
Vatican City,2021-10-01,Battles,0
Vatican City,2021-10-01,Explosions/Remote violence,0
Vatican City,2021-10-01,Protests,0
Vatican City,2021-10-01,Riots,0
Vatican City,2021-10-01,Strategic developments,0
Vatican City,2021-10-01,Violence against civilians,0
Faroe Islands,2021-10-01,Battles,0
Faroe Islands,2021-10-01,Explosions/Remote violence,0
Faroe Islands,2021-10-01,Protests,0
Faroe Islands,2021-10-01,Riots,0
Faroe Islands,2021-10-01,Strategic developments,0
Faroe Islands,2021-10-01,Violence against civilians,0
Tokelau,2021-10-01,Battles,0
Tokelau,2021-10-01,Explosions/Remote violence,0
Tokelau,2021-10-01,Protests,0
Tokelau,2021-10-01,Riots,0
Tokelau,2021-10-01,Strategic developments,0
Tokelau,2021-10-01,Violence against civilians,0
Niue,2021-10-01,Battles,0
Niue,2021-10-01,Explosions/Remote violence,0
Niue,2021-10-01,Protests,0
Niue,2021-10-01,Riots,0
Niue,2021-10-01,Strategic developments,0
Niue,2021-10-01,Violence against civilians,0
Marshall Islands,2021-10-01,Battles,0
Marshall Islands,2021-10-01,Explosions/Remote violence,0
Marshall Islands,2021-10-01,Protests,0
Marshall Islands,2021-10-01,Riots,0
Marshall Islands,2021-10-01,Strategic developments,0
Marshall Islands,2021-10-01,Violence against civilians,0
Brunei,2021-10-01,Battles,0
Brunei,2021-10-01,Explosions/Remote violence,0
Brunei,2021-10-01,Protests,0
Brunei,2021-10-01,Riots,0
Brunei,2021-10-01,Strategic developments,0
Brunei,2021-10-01,Violence against civilians,0
Tuvalu,2021-10-01,Battles,0
Tuvalu,2021-10-01,Explosions/Remote violence,0
Tuvalu,2021-10-01,Protests,0
Tuvalu,2021-10-01,Riots,0
Tuvalu,2021-10-01,Strategic developments,0
Tuvalu,2021-10-01,Violence against civilians,0
Afghanistan,2021-11-01,Battles,164
Afghanistan,2021-11-01,Explosions/Remote violence,39
Afghanistan,2021-11-01,Protests,0
Afghanistan,2021-11-01,Riots,0
Afghanistan,2021-11-01,Strategic developments,1
Afghanistan,2021-11-01,Violence against civilians,72
Algeria,2021-11-01,Battles,0
Algeria,2021-11-01,Explosions/Remote violence,0
Algeria,2021-11-01,Protests,0
Algeria,2021-11-01,Riots,0
Algeria,2021-11-01,Strategic developments,0
Algeria,2021-11-01,Violence against civilians,1
Azerbaijan,2021-11-01,Battles,0
Azerbaijan,2021-11-01,Explosions/Remote violence,1
Azerbaijan,2021-11-01,Protests,0
Azerbaijan,2021-11-01,Riots,0
Azerbaijan,2021-11-01,Strategic developments,0
Azerbaijan,2021-11-01,Violence against civilians,1
Bangladesh,2021-11-01,Battles,4
Bangladesh,2021-11-01,Explosions/Remote violence,0
Bangladesh,2021-11-01,Protests,0
Bangladesh,2021-11-01,Riots,39
Bangladesh,2021-11-01,Strategic developments,0
Bangladesh,2021-11-01,Violence against civilians,17
Belize,2021-11-01,Battles,0
Belize,2021-11-01,Explosions/Remote violence,0
Belize,2021-11-01,Protests,0
Belize,2021-11-01,Riots,0
Belize,2021-11-01,Strategic developments,0
Belize,2021-11-01,Violence against civilians,5
Benin,2021-11-01,Battles,5
Benin,2021-11-01,Explosions/Remote violence,0
Benin,2021-11-01,Protests,0
Benin,2021-11-01,Riots,0
Benin,2021-11-01,Strategic developments,0
Benin,2021-11-01,Violence against civilians,0
Brazil,2021-11-01,Battles,197
Brazil,2021-11-01,Explosions/Remote violence,0
Brazil,2021-11-01,Protests,1
Brazil,2021-11-01,Riots,3
Brazil,2021-11-01,Strategic developments,0
Brazil,2021-11-01,Violence against civilians,286
Burkina Faso,2021-11-01,Battles,197
Burkina Faso,2021-11-01,Explosions/Remote violence,13
Burkina Faso,2021-11-01,Protests,0
Burkina Faso,2021-11-01,Riots,1
Burkina Faso,2021-11-01,Strategic developments,0
Burkina Faso,2021-11-01,Violence against civilians,63
Burundi,2021-11-01,Battles,6
Burundi,2021-11-01,Explosions/Remote violence,0
Burundi,2021-11-01,Protests,0
Burundi,2021-11-01,Riots,3
Burundi,2021-11-01,Strategic developments,0
Burundi,2021-11-01,Violence against civilians,14
Cameroon,2021-11-01,Battles,41
Cameroon,2021-11-01,Explosions/Remote violence,1
Cameroon,2021-11-01,Protests,0
Cameroon,2021-11-01,Riots,4
Cameroon,2021-11-01,Strategic developments,0
Cameroon,2021-11-01,Violence against civilians,46
Central African Republic,2021-11-01,Battles,233
Central African Republic,2021-11-01,Explosions/Remote violence,0
Central African Republic,2021-11-01,Protests,0
Central African Republic,2021-11-01,Riots,0
Central African Republic,2021-11-01,Strategic developments,0
Central African Republic,2021-11-01,Violence against civilians,148
Chad,2021-11-01,Battles,24
Chad,2021-11-01,Explosions/Remote violence,0
Chad,2021-11-01,Protests,0
Chad,2021-11-01,Riots,1
Chad,2021-11-01,Strategic developments,0
Chad,2021-11-01,Violence against civilians,8
Chile,2021-11-01,Battles,0
Chile,2021-11-01,Explosions/Remote violence,0
Chile,2021-11-01,Protests,0
Chile,2021-11-01,Riots,1
Chile,2021-11-01,Strategic developments,0
Chile,2021-11-01,Violence against civilians,0
Colombia,2021-11-01,Battles,36
Colombia,2021-11-01,Explosions/Remote violence,6
Colombia,2021-11-01,Protests,0
Colombia,2021-11-01,Riots,5
Colombia,2021-11-01,Strategic developments,0
Colombia,2021-11-01,Violence against civilians,72
Democratic Republic of Congo,2021-11-01,Battles,415
Democratic Republic of Congo,2021-11-01,Explosions/Remote violence,0
Democratic Republic of Congo,2021-11-01,Protests,0
Democratic Republic of Congo,2021-11-01,Riots,23
Democratic Republic of Congo,2021-11-01,Strategic developments,0
Democratic Republic of Congo,2021-11-01,Violence against civilians,398
Egypt,2021-11-01,Battles,9
Egypt,2021-11-01,Explosions/Remote violence,7
Egypt,2021-11-01,Protests,0
Egypt,2021-11-01,Riots,0
Egypt,2021-11-01,Strategic developments,0
Egypt,2021-11-01,Violence against civilians,0
El Salvador,2021-11-01,Battles,19
El Salvador,2021-11-01,Explosions/Remote violence,0
El Salvador,2021-11-01,Protests,0
El Salvador,2021-11-01,Riots,0
El Salvador,2021-11-01,Strategic developments,0
El Salvador,2021-11-01,Violence against civilians,35
Ethiopia,2021-11-01,Battles,560
Ethiopia,2021-11-01,Explosions/Remote violence,69
Ethiopia,2021-11-01,Protests,0
Ethiopia,2021-11-01,Riots,0
Ethiopia,2021-11-01,Strategic developments,0
Ethiopia,2021-11-01,Violence against civilians,304
Greece,2021-11-01,Battles,0
Greece,2021-11-01,Explosions/Remote violence,0
Greece,2021-11-01,Protests,0
Greece,2021-11-01,Riots,0
Greece,2021-11-01,Strategic developments,0
Greece,2021-11-01,Violence against civilians,0
Guatemala,2021-11-01,Battles,26
Guatemala,2021-11-01,Explosions/Remote violence,0
Guatemala,2021-11-01,Protests,0
Guatemala,2021-11-01,Riots,0
Guatemala,2021-11-01,Strategic developments,0
Guatemala,2021-11-01,Violence against civilians,10
Guyana,2021-11-01,Battles,0
Guyana,2021-11-01,Explosions/Remote violence,0
Guyana,2021-11-01,Protests,0
Guyana,2021-11-01,Riots,0
Guyana,2021-11-01,Strategic developments,0
Guyana,2021-11-01,Violence against civilians,0
Haiti,2021-11-01,Battles,27
Haiti,2021-11-01,Explosions/Remote violence,0
Haiti,2021-11-01,Protests,0
Haiti,2021-11-01,Riots,0
Haiti,2021-11-01,Strategic developments,0
Haiti,2021-11-01,Violence against civilians,10
Honduras,2021-11-01,Battles,6
Honduras,2021-11-01,Explosions/Remote violence,0
Honduras,2021-11-01,Protests,0
Honduras,2021-11-01,Riots,0
Honduras,2021-11-01,Strategic developments,0
Honduras,2021-11-01,Violence against civilians,49
India,2021-11-01,Battles,64
India,2021-11-01,Explosions/Remote violence,0
India,2021-11-01,Protests,0
India,2021-11-01,Riots,12
India,2021-11-01,Strategic developments,0
India,2021-11-01,Violence against civilians,27
Indonesia,2021-11-01,Battles,3
Indonesia,2021-11-01,Explosions/Remote violence,0
Indonesia,2021-11-01,Protests,0
Indonesia,2021-11-01,Riots,2
Indonesia,2021-11-01,Strategic developments,0
Indonesia,2021-11-01,Violence against civilians,0
Iran,2021-11-01,Battles,6
Iran,2021-11-01,Explosions/Remote violence,0
Iran,2021-11-01,Protests,0
Iran,2021-11-01,Riots,0
Iran,2021-11-01,Strategic developments,1
Iran,2021-11-01,Violence against civilians,11
Iraq,2021-11-01,Battles,63
Iraq,2021-11-01,Explosions/Remote violence,43
Iraq,2021-11-01,Protests,0
Iraq,2021-11-01,Riots,3
Iraq,2021-11-01,Strategic developments,0
Iraq,2021-11-01,Violence against civilians,9
Jamaica,2021-11-01,Battles,8
Jamaica,2021-11-01,Explosions/Remote violence,0
Jamaica,2021-11-01,Protests,0
Jamaica,2021-11-01,Riots,2
Jamaica,2021-11-01,Strategic developments,0
Jamaica,2021-11-01,Violence against civilians,12
Kenya,2021-11-01,Battles,34
Kenya,2021-11-01,Explosions/Remote violence,1
Kenya,2021-11-01,Protests,0
Kenya,2021-11-01,Riots,10
Kenya,2021-11-01,Strategic developments,0
Kenya,2021-11-01,Violence against civilians,16
Lebanon,2021-11-01,Battles,0
Lebanon,2021-11-01,Explosions/Remote violence,0
Lebanon,2021-11-01,Protests,0
Lebanon,2021-11-01,Riots,0
Lebanon,2021-11-01,Strategic developments,0
Lebanon,2021-11-01,Violence against civilians,0
Libya,2021-11-01,Battles,2
Libya,2021-11-01,Explosions/Remote violence,0
Libya,2021-11-01,Protests,0
Libya,2021-11-01,Riots,0
Libya,2021-11-01,Strategic developments,0
Libya,2021-11-01,Violence against civilians,1
Madagascar,2021-11-01,Battles,3
Madagascar,2021-11-01,Explosions/Remote violence,0
Madagascar,2021-11-01,Protests,0
Madagascar,2021-11-01,Riots,0
Madagascar,2021-11-01,Strategic developments,0
Madagascar,2021-11-01,Violence against civilians,27
Mali,2021-11-01,Battles,62
Mali,2021-11-01,Explosions/Remote violence,21
Mali,2021-11-01,Protests,0
Mali,2021-11-01,Riots,1
Mali,2021-11-01,Strategic developments,0
Mali,2021-11-01,Violence against civilians,17
Mexico,2021-11-01,Battles,99
Mexico,2021-11-01,Explosions/Remote violence,0
Mexico,2021-11-01,Protests,2
Mexico,2021-11-01,Riots,1
Mexico,2021-11-01,Strategic developments,0
Mexico,2021-11-01,Violence against civilians,563
Mozambique,2021-11-01,Battles,87
Mozambique,2021-11-01,Explosions/Remote violence,0
Mozambique,2021-11-01,Protests,0
Mozambique,2021-11-01,Riots,0
Mozambique,2021-11-01,Strategic developments,0
Mozambique,2021-11-01,Violence against civilians,27
Myanmar,2021-11-01,Battles,1098
Myanmar,2021-11-01,Explosions/Remote violence,477
Myanmar,2021-11-01,Protests,0
Myanmar,2021-11-01,Riots,0
Myanmar,2021-11-01,Strategic developments,4
Myanmar,2021-11-01,Violence against civilians,223
Niger,2021-11-01,Battles,175
Niger,2021-11-01,Explosions/Remote violence,3
Niger,2021-11-01,Protests,0
Niger,2021-11-01,Riots,3
Niger,2021-11-01,Strategic developments,0
Niger,2021-11-01,Violence against civilians,10
Nigeria,2021-11-01,Battles,276
Nigeria,2021-11-01,Explosions/Remote violence,103
Nigeria,2021-11-01,Protests,0
Nigeria,2021-11-01,Riots,8
Nigeria,2021-11-01,Strategic developments,0
Nigeria,2021-11-01,Violence against civilians,340
Pakistan,2021-11-01,Battles,42
Pakistan,2021-11-01,Explosions/Remote violence,10
Pakistan,2021-11-01,Protests,0
Pakistan,2021-11-01,Riots,12
Pakistan,2021-11-01,Strategic developments,0
Pakistan,2021-11-01,Violence against civilians,16
Palestine,2021-11-01,Battles,4
Palestine,2021-11-01,Explosions/Remote violence,0
Palestine,2021-11-01,Protests,0
Palestine,2021-11-01,Riots,1
Palestine,2021-11-01,Strategic developments,0
Palestine,2021-11-01,Violence against civilians,0
Peru,2021-11-01,Battles,0
Peru,2021-11-01,Explosions/Remote violence,0
Peru,2021-11-01,Protests,0
Peru,2021-11-01,Riots,2
Peru,2021-11-01,Strategic developments,0
Peru,2021-11-01,Violence against civilians,0
Philippines,2021-11-01,Battles,15
Philippines,2021-11-01,Explosions/Remote violence,0
Philippines,2021-11-01,Protests,0
Philippines,2021-11-01,Riots,0
Philippines,2021-11-01,Strategic developments,0
Philippines,2021-11-01,Violence against civilians,24
Puerto Rico,2021-11-01,Battles,5
Puerto Rico,2021-11-01,Explosions/Remote violence,0
Puerto Rico,2021-11-01,Protests,0
Puerto Rico,2021-11-01,Riots,0
Puerto Rico,2021-11-01,Strategic developments,0
Puerto Rico,2021-11-01,Violence against civilians,18
Russia,2021-11-01,Battles,2
Russia,2021-11-01,Explosions/Remote violence,0
Russia,2021-11-01,Protests,0
Russia,2021-11-01,Riots,0
Russia,2021-11-01,Strategic developments,0
Russia,2021-11-01,Violence against civilians,0
Rwanda,2021-11-01,Battles,0
Rwanda,2021-11-01,Explosions/Remote violence,0
Rwanda,2021-11-01,Protests,0
Rwanda,2021-11-01,Riots,0
Rwanda,2021-11-01,Strategic developments,0
Rwanda,2021-11-01,Violence against civilians,2
Senegal,2021-11-01,Battles,0
Senegal,2021-11-01,Explosions/Remote violence,0
Senegal,2021-11-01,Protests,0
Senegal,2021-11-01,Riots,0
Senegal,2021-11-01,Strategic developments,0
Senegal,2021-11-01,Violence against civilians,0
Sierra Leone,2021-11-01,Battles,0
Sierra Leone,2021-11-01,Explosions/Remote violence,0
Sierra Leone,2021-11-01,Protests,0
Sierra Leone,2021-11-01,Riots,0
Sierra Leone,2021-11-01,Strategic developments,0
Sierra Leone,2021-11-01,Violence against civilians,0
Somalia,2021-11-01,Battles,106
Somalia,2021-11-01,Explosions/Remote violence,55
Somalia,2021-11-01,Protests,0
Somalia,2021-11-01,Riots,0
Somalia,2021-11-01,Strategic developments,0
Somalia,2021-11-01,Violence against civilians,22
South Sudan,2021-11-01,Battles,65
South Sudan,2021-11-01,Explosions/Remote violence,3
South Sudan,2021-11-01,Protests,0
South Sudan,2021-11-01,Riots,0
South Sudan,2021-11-01,Strategic developments,0
South Sudan,2021-11-01,Violence against civilians,48
Sudan,2021-11-01,Battles,118
Sudan,2021-11-01,Explosions/Remote violence,0
Sudan,2021-11-01,Protests,30
Sudan,2021-11-01,Riots,3
Sudan,2021-11-01,Strategic developments,0
Sudan,2021-11-01,Violence against civilians,36
Syria,2021-11-01,Battles,173
Syria,2021-11-01,Explosions/Remote violence,166
Syria,2021-11-01,Protests,0
Syria,2021-11-01,Riots,0
Syria,2021-11-01,Strategic developments,4
Syria,2021-11-01,Violence against civilians,65
Thailand,2021-11-01,Battles,0
Thailand,2021-11-01,Explosions/Remote violence,0
Thailand,2021-11-01,Protests,0
Thailand,2021-11-01,Riots,0
Thailand,2021-11-01,Strategic developments,0
Thailand,2021-11-01,Violence against civilians,0
Trinidad and Tobago,2021-11-01,Battles,6
Trinidad and Tobago,2021-11-01,Explosions/Remote violence,0
Trinidad and Tobago,2021-11-01,Protests,0
Trinidad and Tobago,2021-11-01,Riots,0
Trinidad and Tobago,2021-11-01,Strategic developments,0
Trinidad and Tobago,2021-11-01,Violence against civilians,21
Turkey,2021-11-01,Battles,6
Turkey,2021-11-01,Explosions/Remote violence,0
Turkey,2021-11-01,Protests,0
Turkey,2021-11-01,Riots,0
Turkey,2021-11-01,Strategic developments,0
Turkey,2021-11-01,Violence against civilians,4
Uganda,2021-11-01,Battles,34
Uganda,2021-11-01,Explosions/Remote violence,8
Uganda,2021-11-01,Protests,0
Uganda,2021-11-01,Riots,7
Uganda,2021-11-01,Strategic developments,0
Uganda,2021-11-01,Violence against civilians,8
Ukraine,2021-11-01,Battles,5
Ukraine,2021-11-01,Explosions/Remote violence,7
Ukraine,2021-11-01,Protests,0
Ukraine,2021-11-01,Riots,0
Ukraine,2021-11-01,Strategic developments,0
Ukraine,2021-11-01,Violence against civilians,0
Venezuela,2021-11-01,Battles,48
Venezuela,2021-11-01,Explosions/Remote violence,0
Venezuela,2021-11-01,Protests,0
Venezuela,2021-11-01,Riots,1
Venezuela,2021-11-01,Strategic developments,0
Venezuela,2021-11-01,Violence against civilians,22
Yemen,2021-11-01,Battles,1295
Yemen,2021-11-01,Explosions/Remote violence,849
Yemen,2021-11-01,Protests,0
Yemen,2021-11-01,Riots,0
Yemen,2021-11-01,Strategic developments,0
Yemen,2021-11-01,Violence against civilians,23
Zambia,2021-11-01,Battles,0
Zambia,2021-11-01,Explosions/Remote violence,0
Zambia,2021-11-01,Protests,0
Zambia,2021-11-01,Riots,1
Zambia,2021-11-01,Strategic developments,0
Zambia,2021-11-01,Violence against civilians,1
Armenia,2021-11-01,Battles,14
Armenia,2021-11-01,Explosions/Remote violence,0
Armenia,2021-11-01,Protests,0
Armenia,2021-11-01,Riots,0
Armenia,2021-11-01,Strategic developments,0
Armenia,2021-11-01,Violence against civilians,0
Djibouti,2021-11-01,Battles,0
Djibouti,2021-11-01,Explosions/Remote violence,0
Djibouti,2021-11-01,Protests,0
Djibouti,2021-11-01,Riots,0
Djibouti,2021-11-01,Strategic developments,0
Djibouti,2021-11-01,Violence against civilians,0
Mauritania,2021-11-01,Battles,0
Mauritania,2021-11-01,Explosions/Remote violence,0
Mauritania,2021-11-01,Protests,0
Mauritania,2021-11-01,Riots,0
Mauritania,2021-11-01,Strategic developments,0
Mauritania,2021-11-01,Violence against civilians,0
Morocco,2021-11-01,Battles,0
Morocco,2021-11-01,Explosions/Remote violence,14
Morocco,2021-11-01,Protests,0
