Country,Event month,Event Type,Events
Tunisia,2021-03-01,Violence against civilians,0
United States,2021-03-01,Battles,0
United States,2021-03-01,Explosions/Remote violence,1
United States,2021-03-01,Protests,1515
United States,2021-03-01,Riots,23
United States,2021-03-01,Strategic developments,61
United States,2021-03-01,Violence against civilians,8
Albania,2021-03-01,Battles,0
Albania,2021-03-01,Explosions/Remote violence,1
Albania,2021-03-01,Protests,15
Albania,2021-03-01,Riots,2
Albania,2021-03-01,Strategic developments,3
Albania,2021-03-01,Violence against civilians,0
Andorra,2021-03-01,Battles,0
Andorra,2021-03-01,Explosions/Remote violence,0
Andorra,2021-03-01,Protests,1
Andorra,2021-03-01,Riots,0
Andorra,2021-03-01,Strategic developments,0
Andorra,2021-03-01,Violence against civilians,0
Angola,2021-03-01,Battles,0
Angola,2021-03-01,Explosions/Remote violence,0
Angola,2021-03-01,Protests,9
Angola,2021-03-01,Riots,3
Angola,2021-03-01,Strategic developments,0
Angola,2021-03-01,Violence against civilians,4
Argentina,2021-03-01,Battles,0
Argentina,2021-03-01,Explosions/Remote violence,0
Argentina,2021-03-01,Protests,354
Argentina,2021-03-01,Riots,17
Argentina,2021-03-01,Strategic developments,1
Argentina,2021-03-01,Violence against civilians,3
Australia,2021-03-01,Battles,0
Australia,2021-03-01,Explosions/Remote violence,0
Australia,2021-03-01,Protests,51
Australia,2021-03-01,Riots,0
Australia,2021-03-01,Strategic developments,0
Australia,2021-03-01,Violence against civilians,0
Austria,2021-03-01,Battles,0
Austria,2021-03-01,Explosions/Remote violence,0
Austria,2021-03-01,Protests,48
Austria,2021-03-01,Riots,2
Austria,2021-03-01,Strategic developments,1
Austria,2021-03-01,Violence against civilians,0
Bahrain,2021-03-01,Battles,0
Bahrain,2021-03-01,Explosions/Remote violence,0
Bahrain,2021-03-01,Protests,37
Bahrain,2021-03-01,Riots,11
Bahrain,2021-03-01,Strategic developments,0
Bahrain,2021-03-01,Violence against civilians,1
Belarus,2021-03-01,Battles,0
Belarus,2021-03-01,Explosions/Remote violence,0
Belarus,2021-03-01,Protests,214
Belarus,2021-03-01,Riots,0
Belarus,2021-03-01,Strategic developments,9
Belarus,2021-03-01,Violence against civilians,3
Belgium,2021-03-01,Battles,0
Belgium,2021-03-01,Explosions/Remote violence,0
Belgium,2021-03-01,Protests,118
Belgium,2021-03-01,Riots,3
Belgium,2021-03-01,Strategic developments,0
Belgium,2021-03-01,Violence against civilians,0
Bolivia,2021-03-01,Battles,0
Bolivia,2021-03-01,Explosions/Remote violence,0
Bolivia,2021-03-01,Protests,110
Bolivia,2021-03-01,Riots,13
Bolivia,2021-03-01,Strategic developments,1
Bolivia,2021-03-01,Violence against civilians,1
Bosnia and Herzegovina,2021-03-01,Battles,0
Bosnia and Herzegovina,2021-03-01,Explosions/Remote violence,0
Bosnia and Herzegovina,2021-03-01,Protests,15
Bosnia and Herzegovina,2021-03-01,Riots,0
Bosnia and Herzegovina,2021-03-01,Strategic developments,0
Bosnia and Herzegovina,2021-03-01,Violence against civilians,0
Bulgaria,2021-03-01,Battles,0
Bulgaria,2021-03-01,Explosions/Remote violence,0
Bulgaria,2021-03-01,Protests,36
Bulgaria,2021-03-01,Riots,1
Bulgaria,2021-03-01,Strategic developments,8
Bulgaria,2021-03-01,Violence against civilians,0
Cambodia,2021-03-01,Battles,0
Cambodia,2021-03-01,Explosions/Remote violence,0
Cambodia,2021-03-01,Protests,0
Cambodia,2021-03-01,Riots,1
Cambodia,2021-03-01,Strategic developments,1
Cambodia,2021-03-01,Violence against civilians,1
Canada,2021-03-01,Battles,0
Canada,2021-03-01,Explosions/Remote violence,0
Canada,2021-03-01,Protests,112
Canada,2021-03-01,Riots,0
Canada,2021-03-01,Strategic developments,0
Canada,2021-03-01,Violence against civilians,0
Cape Verde,2021-03-01,Battles,0
Cape Verde,2021-03-01,Explosions/Remote violence,0
Cape Verde,2021-03-01,Protests,7
Cape Verde,2021-03-01,Riots,0
Cape Verde,2021-03-01,Strategic developments,0
Cape Verde,2021-03-01,Violence against civilians,1
China,2021-03-01,Battles,0
China,2021-03-01,Explosions/Remote violence,1
China,2021-03-01,Protests,119
China,2021-03-01,Riots,3
China,2021-03-01,Strategic developments,11
China,2021-03-01,Violence against civilians,39
Costa Rica,2021-03-01,Battles,0
Costa Rica,2021-03-01,Explosions/Remote violence,0
Costa Rica,2021-03-01,Protests,19
Costa Rica,2021-03-01,Riots,2
Costa Rica,2021-03-01,Strategic developments,0
Costa Rica,2021-03-01,Violence against civilians,0
Croatia,2021-03-01,Battles,0
Croatia,2021-03-01,Explosions/Remote violence,0
Croatia,2021-03-01,Protests,14
Croatia,2021-03-01,Riots,0
Croatia,2021-03-01,Strategic developments,1
Croatia,2021-03-01,Violence against civilians,0
Cuba,2021-03-01,Battles,0
Cuba,2021-03-01,Explosions/Remote violence,0
Cuba,2021-03-01,Protests,2
Cuba,2021-03-01,Riots,0
Cuba,2021-03-01,Strategic developments,3
Cuba,2021-03-01,Violence against civilians,7
Cyprus,2021-03-01,Battles,0
Cyprus,2021-03-01,Explosions/Remote violence,0
Cyprus,2021-03-01,Protests,47
Cyprus,2021-03-01,Riots,0
Cyprus,2021-03-01,Strategic developments,0
Cyprus,2021-03-01,Violence against civilians,0
Czech Republic,2021-03-01,Battles,0
Czech Republic,2021-03-01,Explosions/Remote violence,0
Czech Republic,2021-03-01,Protests,19
Czech Republic,2021-03-01,Riots,1
Czech Republic,2021-03-01,Strategic developments,0
Czech Republic,2021-03-01,Violence against civilians,1
Denmark,2021-03-01,Battles,0
Denmark,2021-03-01,Explosions/Remote violence,0
Denmark,2021-03-01,Protests,80
Denmark,2021-03-01,Riots,0
Denmark,2021-03-01,Strategic developments,2
Denmark,2021-03-01,Violence against civilians,0
Dominican Republic,2021-03-01,Battles,0
Dominican Republic,2021-03-01,Explosions/Remote violence,0
Dominican Republic,2021-03-01,Protests,3
Dominican Republic,2021-03-01,Riots,1
Dominican Republic,2021-03-01,Strategic developments,0
Dominican Republic,2021-03-01,Violence against civilians,1
East Timor,2021-03-01,Battles,0
East Timor,2021-03-01,Explosions/Remote violence,0
East Timor,2021-03-01,Protests,2
East Timor,2021-03-01,Riots,0
East Timor,2021-03-01,Strategic developments,1
East Timor,2021-03-01,Violence against civilians,0
Ecuador,2021-03-01,Battles,0
Ecuador,2021-03-01,Explosions/Remote violence,0
Ecuador,2021-03-01,Protests,44
Ecuador,2021-03-01,Riots,6
Ecuador,2021-03-01,Strategic developments,0
Ecuador,2021-03-01,Violence against civilians,1
Estonia,2021-03-01,Battles,0
Estonia,2021-03-01,Explosions/Remote violence,0
Estonia,2021-03-01,Protests,2
Estonia,2021-03-01,Riots,0
Estonia,2021-03-01,Strategic developments,0
Estonia,2021-03-01,Violence against civilians,0
Finland,2021-03-01,Battles,0
Finland,2021-03-01,Explosions/Remote violence,0
Finland,2021-03-01,Protests,12
Finland,2021-03-01,Riots,0
Finland,2021-03-01,Strategic developments,1
Finland,2021-03-01,Violence against civilians,0
France,2021-03-01,Battles,0
France,2021-03-01,Explosions/Remote violence,0
France,2021-03-01,Protests,982
France,2021-03-01,Riots,23
France,2021-03-01,Strategic developments,1
France,2021-03-01,Violence against civilians,0
French Guiana,2021-03-01,Battles,0
French Guiana,2021-03-01,Explosions/Remote violence,0
French Guiana,2021-03-01,Protests,1
French Guiana,2021-03-01,Riots,0
French Guiana,2021-03-01,Strategic developments,0
French Guiana,2021-03-01,Violence against civilians,0
French Polynesia,2021-03-01,Battles,0
French Polynesia,2021-03-01,Explosions/Remote violence,0
French Polynesia,2021-03-01,Protests,2
French Polynesia,2021-03-01,Riots,0
French Polynesia,2021-03-01,Strategic developments,0
French Polynesia,2021-03-01,Violence against civilians,0
Gabon,2021-03-01,Battles,0
Gabon,2021-03-01,Explosions/Remote violence,0
Gabon,2021-03-01,Protests,1
Gabon,2021-03-01,Riots,1
Gabon,2021-03-01,Strategic developments,0
Gabon,2021-03-01,Violence against civilians,0
Georgia,2021-03-01,Battles,0
Georgia,2021-03-01,Explosions/Remote violence,0
Georgia,2021-03-01,Protests,81
Georgia,2021-03-01,Riots,4
Georgia,2021-03-01,Strategic developments,2
Georgia,2021-03-01,Violence against civilians,1
Germany,2021-03-01,Battles,0
Germany,2021-03-01,Explosions/Remote violence,0
Germany,2021-03-01,Protests,469
Germany,2021-03-01,Riots,26
Germany,2021-03-01,Strategic developments,21
Germany,2021-03-01,Violence against civilians,2
Ghana,2021-03-01,Battles,0
Ghana,2021-03-01,Explosions/Remote violence,0
Ghana,2021-03-01,Protests,3
Ghana,2021-03-01,Riots,5
Ghana,2021-03-01,Strategic developments,1
Ghana,2021-03-01,Violence against civilians,4
Guadeloupe,2021-03-01,Battles,0
Guadeloupe,2021-03-01,Explosions/Remote violence,0
Guadeloupe,2021-03-01,Protests,11
Guadeloupe,2021-03-01,Riots,1
Guadeloupe,2021-03-01,Strategic developments,0
Guadeloupe,2021-03-01,Violence against civilians,0
Guinea,2021-03-01,Battles,2
Guinea,2021-03-01,Explosions/Remote violence,0
Guinea,2021-03-01,Protests,5
Guinea,2021-03-01,Riots,17
Guinea,2021-03-01,Strategic developments,0
Guinea,2021-03-01,Violence against civilians,1
Guinea-Bissau,2021-03-01,Battles,0
Guinea-Bissau,2021-03-01,Explosions/Remote violence,0
Guinea-Bissau,2021-03-01,Protests,1
Guinea-Bissau,2021-03-01,Riots,0
Guinea-Bissau,2021-03-01,Strategic developments,0
Guinea-Bissau,2021-03-01,Violence against civilians,1
Hungary,2021-03-01,Battles,0
Hungary,2021-03-01,Explosions/Remote violence,0
Hungary,2021-03-01,Protests,4
Hungary,2021-03-01,Riots,0
Hungary,2021-03-01,Strategic developments,1
Hungary,2021-03-01,Violence against civilians,0
Iceland,2021-03-01,Battles,0
Iceland,2021-03-01,Explosions/Remote violence,0
Iceland,2021-03-01,Protests,4
Iceland,2021-03-01,Riots,0
Iceland,2021-03-01,Strategic developments,0
Iceland,2021-03-01,Violence against civilians,0
Ireland,2021-03-01,Battles,0
Ireland,2021-03-01,Explosions/Remote violence,0
Ireland,2021-03-01,Protests,21
Ireland,2021-03-01,Riots,0
Ireland,2021-03-01,Strategic developments,0
Ireland,2021-03-01,Violence against civilians,0
Israel,2021-03-01,Battles,0
Israel,2021-03-01,Explosions/Remote violence,2
Israel,2021-03-01,Protests,84
Israel,2021-03-01,Riots,9
Israel,2021-03-01,Strategic developments,2
Israel,2021-03-01,Violence against civilians,2
Italy,2021-03-01,Battles,0
Italy,2021-03-01,Explosions/Remote violence,0
Italy,2021-03-01,Protests,869
Italy,2021-03-01,Riots,7
Italy,2021-03-01,Strategic developments,10
Italy,2021-03-01,Violence against civilians,2
Ivory Coast,2021-03-01,Battles,3
Ivory Coast,2021-03-01,Explosions/Remote violence,0
Ivory Coast,2021-03-01,Protests,8
Ivory Coast,2021-03-01,Riots,14
Ivory Coast,2021-03-01,Strategic developments,1
Ivory Coast,2021-03-01,Violence against civilians,1
Japan,2021-03-01,Battles,0
Japan,2021-03-01,Explosions/Remote violence,0
Japan,2021-03-01,Protests,179
Japan,2021-03-01,Riots,0
Japan,2021-03-01,Strategic developments,0
Japan,2021-03-01,Violence against civilians,0
Jordan,2021-03-01,Battles,2
Jordan,2021-03-01,Explosions/Remote violence,0
Jordan,2021-03-01,Protests,47
Jordan,2021-03-01,Riots,10
Jordan,2021-03-01,Strategic developments,5
Jordan,2021-03-01,Violence against civilians,0
Kazakhstan,2021-03-01,Battles,0
Kazakhstan,2021-03-01,Explosions/Remote violence,0
Kazakhstan,2021-03-01,Protests,83
Kazakhstan,2021-03-01,Riots,0
Kazakhstan,2021-03-01,Strategic developments,0
Kazakhstan,2021-03-01,Violence against civilians,9
Kosovo,2021-03-01,Battles,0
Kosovo,2021-03-01,Explosions/Remote violence,0
Kosovo,2021-03-01,Protests,15
Kosovo,2021-03-01,Riots,0
Kosovo,2021-03-01,Strategic developments,0
Kosovo,2021-03-01,Violence against civilians,0
Kyrgyzstan,2021-03-01,Battles,0
Kyrgyzstan,2021-03-01,Explosions/Remote violence,0
Kyrgyzstan,2021-03-01,Protests,42
Kyrgyzstan,2021-03-01,Riots,2
Kyrgyzstan,2021-03-01,Strategic developments,0
Kyrgyzstan,2021-03-01,Violence against civilians,3
Latvia,2021-03-01,Battles,0
Latvia,2021-03-01,Explosions/Remote violence,0
Latvia,2021-03-01,Protests,6
Latvia,2021-03-01,Riots,0
Latvia,2021-03-01,Strategic developments,0
Latvia,2021-03-01,Violence against civilians,0
Liberia,2021-03-01,Battles,0
Liberia,2021-03-01,Explosions/Remote violence,0
Liberia,2021-03-01,Protests,3
Liberia,2021-03-01,Riots,5
Liberia,2021-03-01,Strategic developments,1
Liberia,2021-03-01,Violence against civilians,0
Lithuania,2021-03-01,Battles,0
Lithuania,2021-03-01,Explosions/Remote violence,0
Lithuania,2021-03-01,Protests,19
Lithuania,2021-03-01,Riots,0
Lithuania,2021-03-01,Strategic developments,0
Lithuania,2021-03-01,Violence against civilians,0
Luxembourg,2021-03-01,Battles,0
Luxembourg,2021-03-01,Explosions/Remote violence,0
Luxembourg,2021-03-01,Protests,6
Luxembourg,2021-03-01,Riots,0
Luxembourg,2021-03-01,Strategic developments,0
Luxembourg,2021-03-01,Violence against civilians,0
Malawi,2021-03-01,Battles,0
Malawi,2021-03-01,Explosions/Remote violence,0
Malawi,2021-03-01,Protests,10
Malawi,2021-03-01,Riots,14
Malawi,2021-03-01,Strategic developments,0
Malawi,2021-03-01,Violence against civilians,6
Malaysia,2021-03-01,Battles,1
Malaysia,2021-03-01,Explosions/Remote violence,0
Malaysia,2021-03-01,Protests,8
Malaysia,2021-03-01,Riots,0
Malaysia,2021-03-01,Strategic developments,3
Malaysia,2021-03-01,Violence against civilians,1
Maldives,2021-03-01,Battles,0
Maldives,2021-03-01,Explosions/Remote violence,0
Maldives,2021-03-01,Protests,8
Maldives,2021-03-01,Riots,1
Maldives,2021-03-01,Strategic developments,0
Maldives,2021-03-01,Violence against civilians,0
Martinique,2021-03-01,Battles,0
Martinique,2021-03-01,Explosions/Remote violence,0
Martinique,2021-03-01,Protests,1
Martinique,2021-03-01,Riots,1
Martinique,2021-03-01,Strategic developments,0
Martinique,2021-03-01,Violence against civilians,0
Mauritius,2021-03-01,Battles,0
Mauritius,2021-03-01,Explosions/Remote violence,0
Mauritius,2021-03-01,Protests,2
Mauritius,2021-03-01,Riots,3
Mauritius,2021-03-01,Strategic developments,0
Mauritius,2021-03-01,Violence against civilians,0
Mayotte,2021-03-01,Battles,0
Mayotte,2021-03-01,Explosions/Remote violence,0
Mayotte,2021-03-01,Protests,2
Mayotte,2021-03-01,Riots,6
Mayotte,2021-03-01,Strategic developments,0
Mayotte,2021-03-01,Violence against civilians,0
Moldova,2021-03-01,Battles,0
Moldova,2021-03-01,Explosions/Remote violence,0
Moldova,2021-03-01,Protests,24
Moldova,2021-03-01,Riots,1
Moldova,2021-03-01,Strategic developments,3
Moldova,2021-03-01,Violence against civilians,0
Monaco,2021-03-01,Battles,0
Monaco,2021-03-01,Explosions/Remote violence,0
Monaco,2021-03-01,Protests,0
Monaco,2021-03-01,Riots,0
Monaco,2021-03-01,Strategic developments,0
Monaco,2021-03-01,Violence against civilians,0
Mongolia,2021-03-01,Battles,0
Mongolia,2021-03-01,Explosions/Remote violence,0
Mongolia,2021-03-01,Protests,13
Mongolia,2021-03-01,Riots,0
Mongolia,2021-03-01,Strategic developments,2
Mongolia,2021-03-01,Violence against civilians,0
Montenegro,2021-03-01,Battles,0
Montenegro,2021-03-01,Explosions/Remote violence,0
Montenegro,2021-03-01,Protests,21
Montenegro,2021-03-01,Riots,2
Montenegro,2021-03-01,Strategic developments,1
Montenegro,2021-03-01,Violence against civilians,1
Namibia,2021-03-01,Battles,0
Namibia,2021-03-01,Explosions/Remote violence,0
Namibia,2021-03-01,Protests,14
Namibia,2021-03-01,Riots,0
Namibia,2021-03-01,Strategic developments,0
Namibia,2021-03-01,Violence against civilians,0
Netherlands,2021-03-01,Battles,0
Netherlands,2021-03-01,Explosions/Remote violence,1
Netherlands,2021-03-01,Protests,91
Netherlands,2021-03-01,Riots,1
Netherlands,2021-03-01,Strategic developments,1
Netherlands,2021-03-01,Violence against civilians,0
New Caledonia,2021-03-01,Battles,0
New Caledonia,2021-03-01,Explosions/Remote violence,0
New Caledonia,2021-03-01,Protests,0
New Caledonia,2021-03-01,Riots,0
New Caledonia,2021-03-01,Strategic developments,1
New Caledonia,2021-03-01,Violence against civilians,0
New Zealand,2021-03-01,Battles,0
New Zealand,2021-03-01,Explosions/Remote violence,0
New Zealand,2021-03-01,Protests,12
New Zealand,2021-03-01,Riots,0
New Zealand,2021-03-01,Strategic developments,1
New Zealand,2021-03-01,Violence against civilians,0
Nicaragua,2021-03-01,Battles,1
Nicaragua,2021-03-01,Explosions/Remote violence,0
Nicaragua,2021-03-01,Protests,2
Nicaragua,2021-03-01,Riots,0
Nicaragua,2021-03-01,Strategic developments,0
Nicaragua,2021-03-01,Violence against civilians,3
North Macedonia,2021-03-01,Battles,0
North Macedonia,2021-03-01,Explosions/Remote violence,0
North Macedonia,2021-03-01,Protests,14
North Macedonia,2021-03-01,Riots,0
North Macedonia,2021-03-01,Strategic developments,1
North Macedonia,2021-03-01,Violence against civilians,0
Norway,2021-03-01,Battles,0
Norway,2021-03-01,Explosions/Remote violence,0
Norway,2021-03-01,Protests,38
Norway,2021-03-01,Riots,0
Norway,2021-03-01,Strategic developments,0
Norway,2021-03-01,Violence against civilians,0
Panama,2021-03-01,Battles,0
Panama,2021-03-01,Explosions/Remote violence,0
Panama,2021-03-01,Protests,65
Panama,2021-03-01,Riots,2
Panama,2021-03-01,Strategic developments,0
Panama,2021-03-01,Violence against civilians,0
Papua New Guinea,2021-03-01,Battles,2
Papua New Guinea,2021-03-01,Explosions/Remote violence,0
Papua New Guinea,2021-03-01,Protests,1
Papua New Guinea,2021-03-01,Riots,10
Papua New Guinea,2021-03-01,Strategic developments,2
Papua New Guinea,2021-03-01,Violence against civilians,4
Paraguay,2021-03-01,Battles,0
Paraguay,2021-03-01,Explosions/Remote violence,0
Paraguay,2021-03-01,Protests,194
Paraguay,2021-03-01,Riots,13
Paraguay,2021-03-01,Strategic developments,3
Paraguay,2021-03-01,Violence against civilians,3
Poland,2021-03-01,Battles,0
Poland,2021-03-01,Explosions/Remote violence,0
Poland,2021-03-01,Protests,141
Poland,2021-03-01,Riots,4
Poland,2021-03-01,Strategic developments,0
Poland,2021-03-01,Violence against civilians,0
Portugal,2021-03-01,Battles,0
Portugal,2021-03-01,Explosions/Remote violence,0
Portugal,2021-03-01,Protests,61
Portugal,2021-03-01,Riots,0
Portugal,2021-03-01,Strategic developments,0
Portugal,2021-03-01,Violence against civilians,0
Reunion,2021-03-01,Battles,0
Reunion,2021-03-01,Explosions/Remote violence,0
Reunion,2021-03-01,Protests,7
Reunion,2021-03-01,Riots,4
Reunion,2021-03-01,Strategic developments,0
Reunion,2021-03-01,Violence against civilians,0
Romania,2021-03-01,Battles,0
Romania,2021-03-01,Explosions/Remote violence,0
Romania,2021-03-01,Protests,125
Romania,2021-03-01,Riots,5
Romania,2021-03-01,Strategic developments,2
Romania,2021-03-01,Violence against civilians,0
Serbia,2021-03-01,Battles,0
Serbia,2021-03-01,Explosions/Remote violence,0
Serbia,2021-03-01,Protests,28
Serbia,2021-03-01,Riots,0
Serbia,2021-03-01,Strategic developments,0
Serbia,2021-03-01,Violence against civilians,0
Singapore,2021-03-01,Battles,0
Singapore,2021-03-01,Explosions/Remote violence,0
Singapore,2021-03-01,Protests,0
Singapore,2021-03-01,Riots,0
Singapore,2021-03-01,Strategic developments,0
Singapore,2021-03-01,Violence against civilians,0
Slovakia,2021-03-01,Battles,0
Slovakia,2021-03-01,Explosions/Remote violence,0
Slovakia,2021-03-01,Protests,3
Slovakia,2021-03-01,Riots,0
Slovakia,2021-03-01,Strategic developments,0
Slovakia,2021-03-01,Violence against civilians,0
Slovenia,2021-03-01,Battles,0
Slovenia,2021-03-01,Explosions/Remote violence,0
Slovenia,2021-03-01,Protests,10
Slovenia,2021-03-01,Riots,0
Slovenia,2021-03-01,Strategic developments,0
Slovenia,2021-03-01,Violence against civilians,1
South Africa,2021-03-01,Battles,1
South Africa,2021-03-01,Explosions/Remote violence,0
South Africa,2021-03-01,Protests,136
South Africa,2021-03-01,Riots,91
South Africa,2021-03-01,Strategic developments,0
South Africa,2021-03-01,Violence against civilians,6
South Korea,2021-03-01,Battles,0
South Korea,2021-03-01,Explosions/Remote violence,0
South Korea,2021-03-01,Protests,673
South Korea,2021-03-01,Riots,4
South Korea,2021-03-01,Strategic developments,1
South Korea,2021-03-01,Violence against civilians,0
Spain,2021-03-01,Battles,0
Spain,2021-03-01,Explosions/Remote violence,0
Spain,2021-03-01,Protests,451
Spain,2021-03-01,Riots,11
Spain,2021-03-01,Strategic developments,4
Spain,2021-03-01,Violence against civilians,1
Sri Lanka,2021-03-01,Battles,0
Sri Lanka,2021-03-01,Explosions/Remote violence,0
Sri Lanka,2021-03-01,Protests,96
Sri Lanka,2021-03-01,Riots,2
Sri Lanka,2021-03-01,Strategic developments,0
Sri Lanka,2021-03-01,Violence against civilians,2
Suriname,2021-03-01,Battles,0
Suriname,2021-03-01,Explosions/Remote violence,0
Suriname,2021-03-01,Protests,3
Suriname,2021-03-01,Riots,0
Suriname,2021-03-01,Strategic developments,0
Suriname,2021-03-01,Violence against civilians,0
Sweden,2021-03-01,Battles,0
Sweden,2021-03-01,Explosions/Remote violence,0
Sweden,2021-03-01,Protests,99
Sweden,2021-03-01,Riots,2
Sweden,2021-03-01,Strategic developments,1
Sweden,2021-03-01,Violence against civilians,0
Switzerland,2021-03-01,Battles,0
Switzerland,2021-03-01,Explosions/Remote violence,0
Switzerland,2021-03-01,Protests,18
Switzerland,2021-03-01,Riots,2
Switzerland,2021-03-01,Strategic developments,0
Switzerland,2021-03-01,Violence against civilians,0
Taiwan,2021-03-01,Battles,0
Taiwan,2021-03-01,Explosions/Remote violence,0
Taiwan,2021-03-01,Protests,98
Taiwan,2021-03-01,Riots,4
Taiwan,2021-03-01,Strategic developments,0
Taiwan,2021-03-01,Violence against civilians,0
Tanzania,2021-03-01,Battles,0
Tanzania,2021-03-01,Explosions/Remote violence,0
Tanzania,2021-03-01,Protests,2
Tanzania,2021-03-01,Riots,1
Tanzania,2021-03-01,Strategic developments,1
Tanzania,2021-03-01,Violence against civilians,2
Togo,2021-03-01,Battles,0
Togo,2021-03-01,Explosions/Remote violence,0
Togo,2021-03-01,Protests,2
Togo,2021-03-01,Riots,4
Togo,2021-03-01,Strategic developments,0
Togo,2021-03-01,Violence against civilians,1
United Kingdom,2021-03-01,Battles,0
United Kingdom,2021-03-01,Explosions/Remote violence,0
United Kingdom,2021-03-01,Protests,104
United Kingdom,2021-03-01,Riots,11
United Kingdom,2021-03-01,Strategic developments,5
United Kingdom,2021-03-01,Violence against civilians,0
Uzbekistan,2021-03-01,Battles,0
Uzbekistan,2021-03-01,Explosions/Remote violence,0
Uzbekistan,2021-03-01,Protests,37
Uzbekistan,2021-03-01,Riots,4
Uzbekistan,2021-03-01,Strategic developments,0
Uzbekistan,2021-03-01,Violence against civilians,2
eSwatini,2021-03-01,Battles,0
eSwatini,2021-03-01,Explosions/Remote violence,0
eSwatini,2021-03-01,Protests,2
eSwatini,2021-03-01,Riots,0
eSwatini,2021-03-01,Strategic developments,0
eSwatini,2021-03-01,Violence against civilians,0
Christmas Island,2021-03-01,Battles,0
Christmas Island,2021-03-01,Explosions/Remote violence,0
Christmas Island,2021-03-01,Protests,0
Christmas Island,2021-03-01,Riots,0
Christmas Island,2021-03-01,Strategic developments,0
Christmas Island,2021-03-01,Violence against civilians,0
Republic of Congo,2021-03-01,Battles,0
Republic of Congo,2021-03-01,Explosions/Remote violence,0
Republic of Congo,2021-03-01,Protests,2
Republic of Congo,2021-03-01,Riots,1
Republic of Congo,2021-03-01,Strategic developments,1
Republic of Congo,2021-03-01,Violence against civilians,1
Zimbabwe,2021-03-01,Battles,0
Zimbabwe,2021-03-01,Explosions/Remote violence,0
Zimbabwe,2021-03-01,Protests,0
Zimbabwe,2021-03-01,Riots,3
Zimbabwe,2021-03-01,Strategic developments,0
Zimbabwe,2021-03-01,Violence against civilians,2
Eritrea,2021-03-01,Battles,0
Eritrea,2021-03-01,Explosions/Remote violence,0
Eritrea,2021-03-01,Protests,0
Eritrea,2021-03-01,Riots,0
Eritrea,2021-03-01,Strategic developments,0
Eritrea,2021-03-01,Violence against civilians,0
North Korea,2021-03-01,Battles,0
North Korea,2021-03-01,Explosions/Remote violence,0
North Korea,2021-03-01,Protests,1
North Korea,2021-03-01,Riots,0
North Korea,2021-03-01,Strategic developments,7
North Korea,2021-03-01,Violence against civilians,3
Samoa,2021-03-01,Battles,0
Samoa,2021-03-01,Explosions/Remote violence,0
Samoa,2021-03-01,Protests,0
Samoa,2021-03-01,Riots,0
Samoa,2021-03-01,Strategic developments,0
Samoa,2021-03-01,Violence against civilians,0
Turkmenistan,2021-03-01,Battles,0
Turkmenistan,2021-03-01,Explosions/Remote violence,0
Turkmenistan,2021-03-01,Protests,0
Turkmenistan,2021-03-01,Riots,0
Turkmenistan,2021-03-01,Strategic developments,0
Turkmenistan,2021-03-01,Violence against civilians,0
Gambia,2021-03-01,Battles,0
Gambia,2021-03-01,Explosions/Remote violence,0
Gambia,2021-03-01,Protests,0
Gambia,2021-03-01,Riots,1
Gambia,2021-03-01,Strategic developments,1
Gambia,2021-03-01,Violence against civilians,1
Anguilla,2021-03-01,Battles,0
Anguilla,2021-03-01,Explosions/Remote violence,0
Anguilla,2021-03-01,Protests,0
Anguilla,2021-03-01,Riots,0
Anguilla,2021-03-01,Strategic developments,0
Anguilla,2021-03-01,Violence against civilians,0
Bahamas,2021-03-01,Battles,0
Bahamas,2021-03-01,Explosions/Remote violence,0
Bahamas,2021-03-01,Protests,2
Bahamas,2021-03-01,Riots,0
Bahamas,2021-03-01,Strategic developments,0
Bahamas,2021-03-01,Violence against civilians,0
Caribbean Netherlands,2021-03-01,Battles,0
Caribbean Netherlands,2021-03-01,Explosions/Remote violence,0
Caribbean Netherlands,2021-03-01,Protests,0
Caribbean Netherlands,2021-03-01,Riots,0
Caribbean Netherlands,2021-03-01,Strategic developments,0
Caribbean Netherlands,2021-03-01,Violence against civilians,0
Dominica,2021-03-01,Battles,0
Dominica,2021-03-01,Explosions/Remote violence,0
Dominica,2021-03-01,Protests,0
Dominica,2021-03-01,Riots,0
Dominica,2021-03-01,Strategic developments,0
Dominica,2021-03-01,Violence against civilians,0
Greenland,2021-03-01,Battles,0
Greenland,2021-03-01,Explosions/Remote violence,0
Greenland,2021-03-01,Protests,0
Greenland,2021-03-01,Riots,0
Greenland,2021-03-01,Strategic developments,0
Greenland,2021-03-01,Violence against civilians,0
Guam,2021-03-01,Battles,0
Guam,2021-03-01,Explosions/Remote violence,0
Guam,2021-03-01,Protests,0
Guam,2021-03-01,Riots,0
Guam,2021-03-01,Strategic developments,0
Guam,2021-03-01,Violence against civilians,0
Lesotho,2021-03-01,Battles,0
Lesotho,2021-03-01,Explosions/Remote violence,0
Lesotho,2021-03-01,Protests,2
Lesotho,2021-03-01,Riots,0
Lesotho,2021-03-01,Strategic developments,0
Lesotho,2021-03-01,Violence against civilians,0
Malta,2021-03-01,Battles,0
Malta,2021-03-01,Explosions/Remote violence,0
Malta,2021-03-01,Protests,9
Malta,2021-03-01,Riots,0
Malta,2021-03-01,Strategic developments,0
Malta,2021-03-01,Violence against civilians,0
San Marino,2021-03-01,Battles,0
San Marino,2021-03-01,Explosions/Remote violence,0
San Marino,2021-03-01,Protests,2
San Marino,2021-03-01,Riots,0
